model	class	correct	TP	FP	TN	FN	diso_correct	diso_TP	diso_FP	diso_TN	diso_FN	Precision	Recall	Neg_Precision	Neg_Recall	Balanced Acc.	F1	MCC	D Precision	D Recall	D Neg_Precision	D Neg_Recall	D Balanced Acc.	D F1	D MCC	SE_Precision	SE_Recall	SE_Neg_Precision	SE_Neg_Recall	SE_Balanced Acc.	SE_F1	SE_MCC	SE_D Precision	SE_D Recall	SE_D Neg_Precision	SE_D Neg_Recall	SE_D Balanced Acc.	SE_D F1	SE_D MCC	
mobidb_2_CNN_0	-	94495.0	34636.0	42058.0	59859.0	30070.0	94495.0	34636.0	42058.0	59859.0	30070.0	0.45161290322580644	0.5352826631224307	0.6656251042489074	0.5873308672743507	0.5613067651983907	0.48990099009900995	0.11989564626440327	0.45161290322580644	0.5352826631224307	0.6656251042489074	0.5873308672743507	0.5613067651983907	0.48990099009900995	0.11989564626440327	0.005830988723835806	0.008069754989860844	0.008585632260128928	0.007875192166391043	0.009985787738340537	0.008346082853266407	0.021015496476315787	0.005830988723835806	0.008069754989860844	0.008585632260128928	0.007875192166391043	0.009985787738340537	0.008346082853266407	0.021015496476315787	
mobidb_2_CNN_1	-	98593.0	33733.0	37057.0	64860.0	30973.0	98593.0	33733.0	37057.0	64860.0	30973.0	0.47652210764232233	0.5213272339504837	0.6768023540951447	0.6364002080124023	0.578863720981443	0.4979187577493063	0.15551036987991207	0.47652210764232233	0.5213272339504837	0.6768023540951447	0.6364002080124023	0.578863720981443	0.4979187577493063	0.15551036987991207	0.005721551533617197	0.00792905121269355	0.009029707416240873	0.008460081187950386	0.00906800268080199	0.009084810759375866	0.019133682393284474	0.005721551533617197	0.00792905121269355	0.009029707416240873	0.008460081187950386	0.00906800268080199	0.009084810759375866	0.019133682393284474	
mobidb_2_CNN_2	-	93937.0	38053.0	46033.0	55884.0	26653.0	93937.0	38053.0	46033.0	55884.0	26653.0	0.4525485812144709	0.5880907489259111	0.6770781588863176	0.5483285418526841	0.5682096453892975	0.511492553363084	0.1329796523927283	0.4525485812144709	0.5880907489259111	0.6770781588863176	0.5483285418526841	0.5682096453892975	0.511492553363084	0.1329796523927283	0.005977167031183811	0.009288781730325407	0.008446173817477087	0.007581347516169956	0.009422653789069396	0.009064862001830126	0.018706528429853903	0.005977167031183811	0.009288781730325407	0.008446173817477087	0.007581347516169956	0.009422653789069396	0.009064862001830126	0.018706528429853903	
mobidb_2_FNN_0	-	85164.0	48727.0	65723.0	36437.0	16523.0	85164.0	48727.0	65723.0	36437.0	16523.0	0.4257492354740061	0.7467739463601533	0.6880098187311178	0.3566660140955364	0.5517199802278449	0.5423149693934336	0.10847687342680318	0.4257492354740061	0.7467739463601533	0.6880098187311178	0.3566660140955364	0.5517199802278449	0.5423149693934336	0.10847687342680318	0.006890535539191944	0.012057017692104044	0.008687532607466103	0.008821785620559852	0.009361884725295727	0.00825953986267508	0.01855995931196902	0.006890535539191944	0.012057017692104044	0.008687532607466103	0.008821785620559852	0.009361884725295727	0.00825953986267508	0.01855995931196902	
mobidb_2_FNN_1	-	66874.0	63399.0	98685.0	3475.0	1851.0	66874.0	63399.0	98685.0	3475.0	1851.0	0.39114903383430816	0.971632183908046	0.6524596319939917	0.03401527016444793	0.5028237270362469	0.5577608276808572	0.015693244961704312	0.39114903383430816	0.971632183908046	0.6524596319939917	0.03401527016444793	0.5028237270362469	0.5577608276808572	0.015693244961704312	0.007155758724658956	0.012973574127802135	0.01037345071596274	0.009422497484604421	0.007274189153960685	0.008471786110562318	0.020379869353628233	0.007155758724658956	0.012973574127802135	0.01037345071596274	0.009422497484604421	0.007274189153960685	0.008471786110562318	0.020379869353628233	
mobidb_2_FNN_2	-	100347.0	13864.0	15677.0	86483.0	51386.0	100347.0	13864.0	15677.0	86483.0	51386.0	0.46931383500897056	0.2124750957854406	0.6272838709209467	0.8465446358653094	0.529509865825375	0.29251722209914444	0.07550609698601679	0.46931383500897056	0.2124750957854406	0.6272838709209467	0.8465446358653094	0.529509865825375	0.29251722209914444	0.07550609698601679	0.009782332851408004	0.01383404890979767	0.007538301666902503	0.013259468309542166	0.009856097289700841	0.01431469180401615	0.02431742061461667	0.009782332851408004	0.01383404890979767	0.007538301666902503	0.013259468309542166	0.009856097289700841	0.01431469180401615	0.02431742061461667	
mobidb_2_FNN_3	-	89319.0	47360.0	60201.0	41959.0	17890.0	89319.0	47360.0	60201.0	41959.0	17890.0	0.44030829017952605	0.7258237547892721	0.7010810539858644	0.41071848081440876	0.5682711178018405	0.5481132566792624	0.13894465496333658	0.44030829017952605	0.7258237547892721	0.7010810539858644	0.41071848081440876	0.5682711178018405	0.5481132566792624	0.13894465496333658	0.006779693076605586	0.012337390657766262	0.008972248211107231	0.0077354297729948784	0.008528089784660728	0.00858993019010762	0.01639568957496615	0.006779693076605586	0.012337390657766262	0.008972248211107231	0.0077354297729948784	0.008528089784660728	0.00858993019010762	0.01639568957496615	
mobidb_2_FNN_4	-	85278.0	43351.0	60233.0	41927.0	21899.0	85278.0	43351.0	60233.0	41927.0	21899.0	0.4185105807846772	0.6643831417624521	0.6568953091216746	0.4104052466718872	0.5373941942171696	0.5135340038143976	0.07509650447626215	0.4185105807846772	0.6643831417624521	0.6568953091216746	0.4104052466718872	0.5373941942171696	0.5135340038143976	0.07509650447626215	0.006354844957853212	0.010775007184864072	0.00916652874562393	0.007461538505811022	0.009053121359574395	0.008606014937980994	0.018358792867424978	0.006354844957853212	0.010775007184864072	0.00916652874562393	0.007461538505811022	0.009053121359574395	0.008606014937980994	0.018358792867424978	
mobidb_2_FNN_5	-	100214.0	42313.0	44259.0	57901.0	22937.0	100214.0	42313.0	44259.0	57901.0	22937.0	0.4887608002587442	0.6484750957854406	0.7162596798535342	0.5667678151918559	0.6076214554886483	0.5574027479548418	0.21006952408507457	0.4887608002587442	0.6484750957854406	0.7162596798535342	0.5667678151918559	0.6076214554886483	0.5574027479548418	0.21006952408507457	0.005598662953066463	0.009732081898994549	0.008359059292678828	0.007832535492059423	0.009145595107931767	0.008968921539221492	0.018630048291297774	0.005598662953066463	0.009732081898994549	0.008359059292678828	0.007832535492059423	0.009145595107931767	0.008968921539221492	0.018630048291297774	
mobidb_2_FNN_5_ESM2	-	96920.0	39398.0	43496.0	57522.0	24782.0	96920.0	39398.0	43496.0	57522.0	24782.0	0.4752816850435496	0.6138672483639763	0.6988967729393468	0.5694232711002	0.5916452597320881	0.535757509824986	0.1786764115465561	0.4752816850435496	0.6138672483639763	0.6988967729393468	0.5694232711002	0.5916452597320881	0.535757509824986	0.1786764115465561	0.006202633875981828	0.008290046070804857	0.009071678858925653	0.007671279205130194	0.009594959988089402	0.008454670947963261	0.019024689126311778	0.006202633875981828	0.008290046070804857	0.009071678858925653	0.007671279205130194	0.009594959988089402	0.008454670947963261	0.019024689126311778	
mobidb_2_D_CNN_0	-	90558.0	50376.0	61974.0	40182.0	14189.0	90558.0	50376.0	61974.0	40182.0	14189.0	0.4483845126835781	0.7802369704948502	0.7390336760405363	0.39333959826148246	0.5867882843781663	0.569493824718085	0.18036464764819785	0.4483845126835781	0.7802369704948502	0.7390336760405363	0.39333959826148246	0.5867882843781663	0.569493824718085	0.18036464764819785	0.005914551751362879	0.013015829765454484	0.010719611281549912	0.008036141782883505	0.010167953346829933	0.009534390729932118	0.018789483478561547	0.005914551751362879	0.013015829765454484	0.010719611281549912	0.008036141782883505	0.010167953346829933	0.009534390729932118	0.018789483478561547	
mobidb_2_D_CNN_1	-	89198.0	53603.0	66561.0	35595.0	10962.0	89198.0	53603.0	66561.0	35595.0	10962.0	0.4460820212376419	0.8302176101603036	0.7645466847090663	0.34843768354281685	0.5893276468515602	0.580342014518565	0.19398436360494972	0.4460820212376419	0.8302176101603036	0.7645466847090663	0.34843768354281685	0.5893276468515602	0.580342014518565	0.19398436360494972	0.006017839653719603	0.014533749946070595	0.011447197724694047	0.009130040395806976	0.009697645373983668	0.010217381993545438	0.01764908011168828	0.006017839653719603	0.014533749946070595	0.011447197724694047	0.009130040395806976	0.009697645373983668	0.010217381993545438	0.01764908011168828	
mobidb_2_D_CNN_2	-	100356.0	41067.0	42867.0	59289.0	23498.0	100356.0	41067.0	42867.0	59289.0	23498.0	0.4892772892987347	0.6360566870595524	0.7161631657144237	0.5803770703629743	0.6082168787112634	0.5530946336338965	0.21086547750898307	0.4892772892987347	0.6360566870595524	0.7161631657144237	0.5803770703629743	0.6082168787112634	0.5530946336338965	0.21086547750898307	0.005581053412204051	0.00935941589304859	0.008980153524835999	0.008604468986006225	0.009464971860600052	0.008548826274010712	0.018277062930408372	0.005581053412204051	0.00935941589304859	0.008980153524835999	0.008604468986006225	0.009464971860600052	0.008548826274010712	0.018277062930408372	
mobidb_2_D_FNN_0	-	88060.0	50193.0	67712.0	37867.0	15469.0	88060.0	50193.0	67712.0	37867.0	15469.0	0.42570713710190405	0.7644147299808108	0.7099707514624268	0.35866033965087757	0.5615375348158442	0.5468629982513196	0.12922292978622443	0.42570713710190405	0.7644147299808108	0.7099707514624268	0.35866033965087757	0.5615375348158442	0.5468629982513196	0.12922292978622443	0.006576025863354096	0.014236113221465174	0.012043414078956233	0.008420910912552815	0.011297957932284039	0.009939654673513265	0.02828256965902362	0.006576025863354096	0.014236113221465174	0.012043414078956233	0.008420910912552815	0.011297957932284039	0.009939654673513265	0.02828256965902362	
