model	class	correct	TP	FP	TN	FN	diso_correct	diso_TP	diso_FP	diso_TN	diso_FN	Precision	Recall	Neg_Precision	Neg_Recall	Balanced Acc.	F1	MCC	D Precision	D Recall	D Neg_Precision	D Neg_Recall	D Balanced Acc.	D F1	D MCC	SE_Precision	SE_Recall	SE_Neg_Precision	SE_Neg_Recall	SE_Balanced Acc.	SE_F1	SE_MCC	SE_D Precision	SE_D Recall	SE_D Neg_Precision	SE_D Neg_Recall	SE_D Balanced Acc.	SE_D F1	SE_D MCC	
mobidb_CNN_0	-	116953.0	39546.0	33256.0	77407.0	26193.0	116953.0	39546.0	33256.0	77407.0	26193.0	0.5431993626548721	0.6015607173823757	0.7471718146718147	0.699484019048824	0.6505223682155998	0.5708923712114103	0.2956597952808761	0.5431993626548721	0.6015607173823757	0.7471718146718147	0.699484019048824	0.6505223682155998	0.5708923712114103	0.2956597952808761	0.011511621596314282	0.01134406064876623	0.009380229918104268	0.00817520942019672	0.00802991678638733	0.009423461257843994	0.016427223295079084	0.011511621596314282	0.01134406064876623	0.009380229918104268	0.00817520942019672	0.00802991678638733	0.009423461257843994	0.016427223295079084	
mobidb_CNN_1	-	103705.0	32979.0	39937.0	70726.0	32760.0	103705.0	32979.0	39937.0	70726.0	32760.0	0.4522875637720116	0.5016656779080911	0.6834354405426821	0.6391115368280275	0.5703886073680593	0.4756986765713462	0.1382270108301586	0.4522875637720116	0.5016656779080911	0.6834354405426821	0.6391115368280275	0.5703886073680593	0.4756986765713462	0.1382270108301586	0.010945628438563396	0.011118372120812988	0.009610958033673277	0.00807853303266846	0.007918467911258754	0.00954159157663233	0.01539918063915827	0.010945628438563396	0.011118372120812988	0.009610958033673277	0.00807853303266846	0.007918467911258754	0.00954159157663233	0.01539918063915827	
mobidb_CNN_2	-	105816.0	34592.0	39439.0	71224.0	31147.0	105816.0	34592.0	39439.0	71224.0	31147.0	0.4672637138496035	0.5262021022528484	0.6957439118500357	0.643611685929353	0.5849068940911006	0.4949846175860342	0.16637590697766944	0.4672637138496035	0.5262021022528484	0.6957439118500357	0.643611685929353	0.5849068940911006	0.4949846175860342	0.16637590697766944	0.01085313859466345	0.010710616485090122	0.009554066949582996	0.007695034945779776	0.007714405488425542	0.009259246498892445	0.015136615902472613	0.01085313859466345	0.010710616485090122	0.009554066949582996	0.007695034945779776	0.007714405488425542	0.009259246498892445	0.015136615902472613	
mobidb_FNN_0	-	90694.0	52719.0	73295.0	37975.0	13376.0	90694.0	52719.0	73295.0	37975.0	13376.0	0.4183582776516895	0.7976246312126485	0.7395182177562267	0.3412869596477038	0.5694557954301761	0.5488446663092308	0.14809076654731293	0.4183582776516895	0.7976246312126485	0.7395182177562267	0.3412869596477038	0.5694557954301761	0.5488446663092308	0.14809076654731293	0.00979641527008086	0.008205647180555654	0.010255174713136275	0.007820769637293673	0.006506135211931655	0.008850981116276696	0.013363593261778231	0.00979641527008086	0.008205647180555654	0.010255174713136275	0.007820769637293673	0.006506135211931655	0.008850981116276696	0.013363593261778231	
mobidb_FNN_1	-	81198.0	54426.0	84498.0	26772.0	11669.0	81198.0	54426.0	84498.0	26772.0	11669.0	0.39176816100889694	0.8234510931235343	0.696443901043157	0.24060393637098948	0.5320275147472618	0.5309361571366557	0.07516931712152959	0.39176816100889694	0.8234510931235343	0.696443901043157	0.24060393637098948	0.5320275147472618	0.5309361571366557	0.07516931712152959	0.009715322723604652	0.009102115024842294	0.012382732221270233	0.008788205455785052	0.0037559146448027064	0.009103437952239054	0.012098275012642599	0.009715322723604652	0.009102115024842294	0.012382732221270233	0.008788205455785052	0.0037559146448027064	0.009103437952239054	0.012098275012642599	
mobidb_FNN_2	-	107570.0	52242.0	55942.0	55328.0	13853.0	107570.0	52242.0	55942.0	55328.0	13853.0	0.48289950454780745	0.7904077464255995	0.7997571587574623	0.49724094544800934	0.6438243459368045	0.5995214569741621	0.2851417532546224	0.48289950454780745	0.7904077464255995	0.7997571587574623	0.49724094544800934	0.6438243459368045	0.5995214569741621	0.2851417532546224	0.010116422729778581	0.008779693138240298	0.009589951747494318	0.008503513707996353	0.007082318431251753	0.008862304810031875	0.013797627126349014	0.010116422729778581	0.008779693138240298	0.009589951747494318	0.008503513707996353	0.007082318431251753	0.008862304810031875	0.013797627126349014	
mobidb_FNN_3	-	106002.0	48857.0	54125.0	57145.0	17238.0	106002.0	48857.0	54125.0	57145.0	17238.0	0.47442271464916197	0.7391935849913004	0.7682534987833242	0.5135705940505078	0.626382089520904	0.5779260337006217	0.24766883910019236	0.47442271464916197	0.7391935849913004	0.7682534987833242	0.5135705940505078	0.626382089520904	0.5779260337006217	0.24766883910019236	0.010069980540573297	0.008583167782038457	0.00955942708586352	0.0077599049898633725	0.0071364702356327345	0.008704088568433925	0.013550125846415559	0.010069980540573297	0.008583167782038457	0.00955942708586352	0.0077599049898633725	0.0071364702356327345	0.008704088568433925	0.013550125846415559	
mobidb_FNN_4	-	89280.0	50809.0	72799.0	38471.0	15286.0	89280.0	50809.0	72799.0	38471.0	15286.0	0.41104944663775805	0.7687268325894546	0.7156463344308648	0.34574458524310236	0.5572357089162785	0.535668914039314	0.12042859167294322	0.41104944663775805	0.7687268325894546	0.7156463344308648	0.34574458524310236	0.5572357089162785	0.535668914039314	0.12042859167294322	0.009797087303446902	0.008221110401866922	0.010117836149954559	0.007588204329663815	0.006626628658493321	0.008646263750860578	0.013188046880359556	0.009797087303446902	0.008221110401866922	0.010117836149954559	0.007588204329663815	0.006626628658493321	0.008646263750860578	0.013188046880359556	
mobidb_FNN_5	-	106084.0	48930.0	54116.0	57154.0	17165.0	106084.0	48930.0	54116.0	57154.0	17165.0	0.47483648079498475	0.7402980558287313	0.7690361818646645	0.5136514783859082	0.6269747671073198	0.578570541737367	0.24886009943360116	0.47483648079498475	0.7402980558287313	0.7690361818646645	0.5136514783859082	0.6269747671073198	0.578570541737367	0.24886009943360116	0.010084591702495765	0.008828031751413513	0.009593824561097163	0.008147088205898283	0.007018771226622313	0.008766880174241794	0.013260759451044114	0.010084591702495765	0.008828031751413513	0.009593824561097163	0.008147088205898283	0.007018771226622313	0.008766880174241794	0.013260759451044114	
mobidb_D_CNN_0	-	110119.0	44922.0	45446.0	65197.0	21090.0	110119.0	44922.0	45446.0	65197.0	21090.0	0.4971007436260623	0.6805126340665334	0.7555831121721697	0.5892555335629005	0.634884083814717	0.574523596367822	0.2610863090401891	0.4971007436260623	0.6805126340665334	0.7555831121721697	0.5892555335629005	0.634884083814717	0.574523596367822	0.2610863090401891	0.010751065461496269	0.010024852318758147	0.009583172628446776	0.008373308308700799	0.007757555585850653	0.008237666148838975	0.014865828602380057	0.010751065461496269	0.010024852318758147	0.009583172628446776	0.008373308308700799	0.007757555585850653	0.008237666148838975	0.014865828602380057	
