model	class	correct	TP	FP	TN	FN	diso_correct	diso_TP	diso_FP	diso_TN	diso_FN	Precision	Recall	Neg_Precision	Neg_Recall	Balanced Acc.	F1	MCC	D Precision	D Recall	D Neg_Precision	D Neg_Recall	D Balanced Acc.	D F1	D MCC	SE_Precision	SE_Recall	SE_Neg_Precision	SE_Neg_Recall	SE_Balanced Acc.	SE_F1	SE_MCC	SE_D Precision	SE_D Recall	SE_D Neg_Precision	SE_D Neg_Recall	SE_D Balanced Acc.	SE_D F1	SE_D MCC	
mobidb_CNN_0	-	116953.0	39546.0	33256.0	77407.0	26193.0	116953.0	39546.0	33256.0	77407.0	26193.0	0.5431993626548721	0.6015607173823757	0.7471718146718147	0.699484019048824	0.6505223682155998	0.5708923712114103	0.2956597952808761	0.5431993626548721	0.6015607173823757	0.7471718146718147	0.699484019048824	0.6505223682155998	0.5708923712114103	0.2956597952808761	0.004774595939774168	0.007985391987172075	0.01002970422292812	0.01105276680107678	0.009660786880056463	0.009798774116157594	0.020106063888755105	0.004774595939774168	0.007985391987172075	0.01002970422292812	0.01105276680107678	0.009660786880056463	0.009798774116157594	0.020106063888755105	
mobidb_CNN_1	-	103705.0	32979.0	39937.0	70726.0	32760.0	103705.0	32979.0	39937.0	70726.0	32760.0	0.4522875637720116	0.5016656779080911	0.6834354405426821	0.6391115368280275	0.5703886073680593	0.4756986765713462	0.1382270108301586	0.4522875637720116	0.5016656779080911	0.6834354405426821	0.6391115368280275	0.5703886073680593	0.4756986765713462	0.1382270108301586	0.005863231925703455	0.00825119860578935	0.00944923665493394	0.008423501297934788	0.008743218340446321	0.008954897224355135	0.017380238740590276	0.005863231925703455	0.00825119860578935	0.00944923665493394	0.008423501297934788	0.008743218340446321	0.008954897224355135	0.017380238740590276	
mobidb_CNN_2	-	105816.0	34592.0	39439.0	71224.0	31147.0	105816.0	34592.0	39439.0	71224.0	31147.0	0.4672637138496035	0.5262021022528484	0.6957439118500357	0.643611685929353	0.5849068940911006	0.4949846175860342	0.16637590697766944	0.4672637138496035	0.5262021022528484	0.6957439118500357	0.643611685929353	0.5849068940911006	0.4949846175860342	0.16637590697766944	0.00582612395299037	0.007777977054112595	0.009020591513792392	0.00906298587507176	0.008933262538217107	0.008794459378609953	0.017968266325108367	0.00582612395299037	0.007777977054112595	0.009020591513792392	0.00906298587507176	0.008933262538217107	0.008794459378609953	0.017968266325108367	
mobidb_FNN_0	-	90694.0	52719.0	73295.0	37975.0	13376.0	90694.0	52719.0	73295.0	37975.0	13376.0	0.4183582776516895	0.7976246312126485	0.7395182177562267	0.3412869596477038	0.5694557954301761	0.5488446663092308	0.14809076654731293	0.4183582776516895	0.7976246312126485	0.7395182177562267	0.3412869596477038	0.5694557954301761	0.5488446663092308	0.14809076654731293	0.007087894184481192	0.013928235937464645	0.009664419288474002	0.008624808672819145	0.00942647674505552	0.009089099660732597	0.019368535009044646	0.007087894184481192	0.013928235937464645	0.009664419288474002	0.008624808672819145	0.00942647674505552	0.009089099660732597	0.019368535009044646	
mobidb_FNN_1	-	81198.0	54426.0	84498.0	26772.0	11669.0	81198.0	54426.0	84498.0	26772.0	11669.0	0.39176816100889694	0.8234510931235343	0.696443901043157	0.24060393637098948	0.5320275147472618	0.5309361571366557	0.07516931712152959	0.39176816100889694	0.8234510931235343	0.696443901043157	0.24060393637098948	0.5320275147472618	0.5309361571366557	0.07516931712152959	0.006874220599562053	0.015619641985654742	0.012276214610287495	0.011814426033726483	0.009277616624254942	0.008511539210633357	0.02076530878960671	0.006874220599562053	0.015619641985654742	0.012276214610287495	0.011814426033726483	0.009277616624254942	0.008511539210633357	0.02076530878960671	
mobidb_FNN_2	-	107570.0	52242.0	55942.0	55328.0	13853.0	107570.0	52242.0	55942.0	55328.0	13853.0	0.48289950454780745	0.7904077464255995	0.7997571587574623	0.49724094544800934	0.6438243459368045	0.5995214569741621	0.2851417532546224	0.48289950454780745	0.7904077464255995	0.7997571587574623	0.49724094544800934	0.6438243459368045	0.5995214569741621	0.2851417532546224	0.006119165930181553	0.012214009335360293	0.010821339117830564	0.007229449006355415	0.008826584939291213	0.009510384378594167	0.018481664523415292	0.006119165930181553	0.012214009335360293	0.010821339117830564	0.007229449006355415	0.008826584939291213	0.009510384378594167	0.018481664523415292	
mobidb_FNN_3	-	106002.0	48857.0	54125.0	57145.0	17238.0	106002.0	48857.0	54125.0	57145.0	17238.0	0.47442271464916197	0.7391935849913004	0.7682534987833242	0.5135705940505078	0.626382089520904	0.5779260337006217	0.24766883910019236	0.47442271464916197	0.7391935849913004	0.7682534987833242	0.5135705940505078	0.626382089520904	0.5779260337006217	0.24766883910019236	0.006198314819747502	0.011734655188322646	0.009913324149304653	0.007247382388002238	0.008984558682847282	0.008908636715933393	0.01807094765374459	0.006198314819747502	0.011734655188322646	0.009913324149304653	0.007247382388002238	0.008984558682847282	0.008908636715933393	0.01807094765374459	
mobidb_FNN_4	-	89280.0	50809.0	72799.0	38471.0	15286.0	89280.0	50809.0	72799.0	38471.0	15286.0	0.41104944663775805	0.7687268325894546	0.7156463344308648	0.34574458524310236	0.5572357089162785	0.535668914039314	0.12042859167294322	0.41104944663775805	0.7687268325894546	0.7156463344308648	0.34574458524310236	0.5572357089162785	0.535668914039314	0.12042859167294322	0.006708750851740414	0.012105865396559473	0.008828078317029142	0.007966302982063439	0.008599064537245571	0.008117208470903498	0.018221392422963806	0.006708750851740414	0.012105865396559473	0.008828078317029142	0.007966302982063439	0.008599064537245571	0.008117208470903498	0.018221392422963806	
mobidb_FNN_5	-	106084.0	48930.0	54116.0	57154.0	17165.0	106084.0	48930.0	54116.0	57154.0	17165.0	0.47483648079498475	0.7402980558287313	0.7690361818646645	0.5136514783859082	0.6269747671073198	0.578570541737367	0.24886009943360116	0.47483648079498475	0.7402980558287313	0.7690361818646645	0.5136514783859082	0.6269747671073198	0.578570541737367	0.24886009943360116	0.006059818705829695	0.01132323171790281	0.010512504282659207	0.00696834738015864	0.007735203188970058	0.008798904606313301	0.015617927537389942	0.006059818705829695	0.01132323171790281	0.010512504282659207	0.00696834738015864	0.007735203188970058	0.008798904606313301	0.015617927537389942	
mobidb_D_CNN_0	-	110119.0	44922.0	45446.0	65197.0	21090.0	110119.0	44922.0	45446.0	65197.0	21090.0	0.4971007436260623	0.6805126340665334	0.7555831121721697	0.5892555335629005	0.634884083814717	0.574523596367822	0.2610863090401891	0.4971007436260623	0.6805126340665334	0.7555831121721697	0.5892555335629005	0.634884083814717	0.574523596367822	0.2610863090401891	0.005024186179104856	0.010681043953563146	0.009715432094799081	0.008527656504832865	0.009743773680444823	0.009344782413876943	0.017656404575607715	0.005024186179104856	0.010681043953563146	0.009715432094799081	0.008527656504832865	0.009743773680444823	0.009344782413876943	0.017656404575607715	
