protein	score
A0A097F4I8	99
A0A0H2ZP82	853
A0A0H3CFC9	61
A0A0H3GD84	529
A0A140GKJ0	88
A0A178W0D3	259
A0A220GHA5	140
A0A2K8FR49	172
A0A2Z5UJ33	498
A0A2Z6AQX6	778
A0A3N4AZ09	806
A0A3S5Y0Q5	172
A0A411NN20	174
A0A5P2U9X4	684
A0KJC7	478
A0MHA3	71
A0R1T8	294
A0ZWU1	251
A1B602	104
A1B8N7	188
A1Z9S6	3257
A2VD23	613
A4C1A5	150
A4L7I2	2474
A4ZNR2	121
A5DRX1	313
A5F384	276
A5YKK6	2376
A5YV76	2512
A6ND01	250
A6NF83	97
A6NI73	299
A7YK37	541
A7ZUK2	1407
A8AZZ3	195
A8BB85	316
A8CDV5	118
A8ULG6	322
B0FRH7	120
B0Y813	240
B2LME8	400
B6KJB6	542
B7T1D9	275
B7XHF3	103
B9KDD4	712
C0J347	464
C4M0U8	151
C4PB33	1772
C6ZFX3	94
C9ZXG5	212
D0PV95	708
D1A4G7	1315
E1BSW7	139
E3T1W8	541
E5LC01	1117
E6PBU3	143
E6PBU9	189
F0TTD6	252
F1QR43	586
F1RAX4	670
F2WK69	377
F2Z293	243
F4JL28	234
F6IAY2	346
F7DSA5	312
F8UU09	469
F9UST4	276
G0SCY6	126
G0SDW4	1522
G1K3N3	108
G1TDB3	124
G3V7P1	274
G4NEJ8	162
G4YRX5	106
G5ED39	1262
G5EFZ1	539
G8HXD9	56
H0W0T5	565
I1WVY3	3122
I7MK25	193
J2EKT7	82
J3F2B0	1101
J7FTI7	162
J7QA90	88
J7QLC0	1706
N1NXA6	99
O00189	453
O00204	365
O00214	317
O00255	615
O00268	1085
O00273	331
O00291	1037
O00411	1230
O00429	736
O00482	541
O00488	134
O00512	1426
O00585	134
O01479	392
O05574	110
O06522	223
O08583	255
O08773	544
O08785	855
O08807	274
O13828	741
O13916	80
O13936	990
O14140	71
O14352	121
O14519	115
O14558	160
O14646	1710
O14713	200
O14717	391
O14733	419
O14744	637
O14745	358
O14776	1098
O14810	134
O14832	338
O14958	399
O14974	1030
O15151	490
O15234	703
O15273	167
O15350	636
O15392	142
O15409	715
O15550	1401
O15922	447
O16299	594
O17087	1113
O17428	1807
O23661	608
O23764	422
O23813	635
O24172	50
O24646	168
O28362	102
O28769	338
O30124	253
O30916	561
O31467	70
O31851	196
O32728	250
O33599	316
O35613	739
O35625	863
O35718	225
O35923	3343
O35987	370
O36030	391
O41094	119
O42050	195
O43044	1136
O43070	613
O43189	567
O43236	478
O43312	755
O43313	823
O43516	503
O43524	673
O43561	262
O43663	620
O43715	76
O43781	588
O44326	678
O49195	270
O50835	354
O53168	472
O54918	196
O54928	536
O54943	1257
O55000	872
O57173	222
O60200	86
O60216	631
O60239	455
O60486	1568
O60502	916
O60508	579
O60563	726
O60568	738
O60573	245
O60673	3130
O60701	494
O60828	265
O60829	102
O60880	128
O60885	1362
O60888	179
O60927	126
O60934	754
O62301	873
O62479	492
O66493	398
O66858	398
O67086	118
O70200	147
O75164	1064
O75324	88
O75496	209
O75506	76
O75530	441
O75554	376
O75581	1613
O75683	361
O75792	299
O75807	674
O75817	140
O75909	580
O75936	387
O76064	485
O76074	875
O76463	440
O77448	1117
O80358	390
O81283	1503
O86488	1315
O89339	532
O89467	78
O94258	978
O94316	984
O94444	243
O94742	89
O94907	266
O94916	1531
O95071	2799
O95147	198
O95163	1332
O95278	331
O95292	243
O95391	586
O95405	1425
O95630	424
O95644	943
O95718	433
O95835	1130
O95843	209
O95863	264
O95997	202
O96013	591
P00004	105
P00127	147
P00392	561
P00452	761
P00519	1130
P00734	622
P00736	705
P00742	488
P00760	246
P00800	548
P00880	472
P01034	146
P01042	644
P01050	65
P01071	181
P01094	68
P01096	109
P01097	85
P01099	166
P01100	380
P01106	439
P01130	860
P01139	241
P01160	151
P01215	116
P01501	70
P01730	458
P02185	154
P02293	131
P02313	90
P02533	472
P02545	664
P02547	549
P02549	2419
P02631	109
P02655	101
P02666	224
P02668	190
P02671	866
P02686	304
P02699	348
P02721	108
P02730	911
P02749	345
P02754	178
P02760	352
P02774	474
P02783	112
P02788	710
P02808	62
P02929	239
P03040	66
P03045	107
P03050	53
P03069	281
P03070	708
P03086	71
P03087	362
P03126	158
P03129	98
P03211	641
P03255	289
P03259	266
P03265	529
P03305	2332
P03315	1253
P03372	595
P03407	210
P03421	241
P03422	507
P03431	757
P03437	566
P03496	230
P03520	265
P03607	279
P03661	424
P03709	132
P03714	117
P04004	478
P04035	888
P04049	648
P04150	777
P04177	498
P04183	234
P04198	464
P04271	92
P04275	2813
P04325	116
P04383	348
P04386	881
P04480	592
P04486	490
P04578	856
P04626	1255
P04629	796
P04711	970
P04818	313
P04859	568
P04968	514
P04972	87
P05031	510
P05055	711
P05059	449
P05198	315
P05205	206
P05221	200
P05231	212
P05318	106
P05452	202
P05455	408
P05556	798
P06132	367
P06149	571
P06179	495
P06241	537
P06400	928
P06401	933
P06437	904
P06454	111
P06491	1374
P06709	321
P06748	294
P06968	152
P07214	302
P07237	508
P07248	1323
P07276	1031
P07313	608
P07342	687
P07363	654
P07476	585
P07516	202
P07567	657
P07598	421
P07663	1224
P07674	358
P08008	219
P08047	785
P08050	382
P08067	215
P08083	387
P08179	212
P08235	984
P08238	724
P08240	638
P08245	108
P08263	222
P08294	240
P08392	1298
P08510	655
P08523	163
P08567	350
P08575	1306
P08581	1390
P08592	770
P08621	437
P08669	491
P08670	466
P08799	2116
P09012	282
P09038	288
P09041	417
P09132	144
P09234	159
P09372	197
P09651	372
P09803	884
P09883	582
P09938	399
P09950	548
P09951	704
P09983	1023
P0A2N1	241
P0A4T9	253
P0A6G1	97
P0A6H5	443
P0A6R3	98
P0A6X3	102
P0A707	180
P0A7G2	133
P0A7K2	121
P0A7S3	124
P0A7U3	92
P0A873	255
P0A877	268
P0A882	108
P0A8Q6	106
P0A8S9	116
P0A903	344
P0A910	346
P0A9A6	383
P0A9H7	382
P0A9K9	196
P0A9Q9	367
P0AAC0	316
P0AB38	213
P0ABD8	156
P0ABH9	758
P0ABI8	663
P0ABJ1	315
P0ABJ3	204
P0ABQ4	159
P0ABS5	581
P0AC88	373
P0ACF8	137
P0ACG8	133
P0ACN7	341
P0ACX9	63
P0AD27	586
P0AD49	113
P0ADV9	191
P0AE70	111
P0AE72	82
P0AES9	110
P0AEX9	396
P0AFC7	220
P0AFD1	166
P0AFD6	180
P0AFE0	184
P0AFG0	181
P0AFG8	887
P0AFX7	216
P0AFZ3	165
P0AG11	139
P0AG16	505
P0AG30	419
P0AG63	84
P0AG67	557
P0AG86	155
P0AGE2	178
P0C066	359
P0C077	95
P0C079	79
P0C0Y1	49
P0C5S4	114
P0C6X7	7073
P0CF51	173
P0CL52	685
P0CY08	210
P0DJI8	122
P0DMC7	216
P0DMM9	295
P0DN86	165
P0DOC6	1389
P0DOF3	450
P0DTC3	275
P0DTC4	75
P0DTD1	7096
P0DTH5	376
P10071	1580
P10114	183
P10121	497
P10163	310
P10275	920
P10388	848
P10415	239
P10451	314
P10565	448
P10619	480
P10674	652
P10686	1290
P10688	756
P10721	976
P10747	220
P10761	424
P10912	638
P10961	833
P10997	89
P11166	492
P11171	864
P11309	313
P11362	822
P11387	765
P11409	336
P11473	427
P11686	197
P11746	286
P11831	508
P11912	226
P11926	461
P11938	827
P11940	636
P12081	509
P12272	177
P12296	2293
P12302	267
P12355	231
P12357	167
P12464	173
P12497	1435
P12520	96
P12537	585
P12810	151
P12950	168
P12956	609
P12957	771
P12978	487
P12996	346
P13010	732
P13021	272
P13022	281
P13183	80
P13199	417
P13255	293
P13338	112
P13569	1480
P13693	172
P13797	630
P13848	98
P14061	328
P14335	3433
P14448	741
P14602	209
P14635	433
P14653	301
P14736	754
P14738	1018
P14859	743
P14907	823
P14921	441
P15146	1861
P15183	380
P15273	468
P15309	386
P15336	505
P15382	129
P15391	556
P15436	1097
P15498	845
P15825	348
P15848	533
P15865	219
P15927	270
P15941	1255
P16006	193
P16009	575
P16035	220
P16050	662
P16220	327
P16243	636
P16278	677
P16442	354
P16458	385
P16471	622
P16860	134
P16869	729
P16949	149
P17109	556
P17181	557
P17405	631
P17612	351
P17838	157
P17870	418
P17931	250
P17947	270
P18065	325
P18212	265
P18272	739
P18484	938
P19250	189
P19429	210
P19554	81
P19594	158
P19619	346
P19711	3988
P19827	911
P19838	968
P19878	526
P19880	650
P19883	344
P19957	117
P19972	222
P20220	112
P20340	208
P20351	379
P20435	155
P20444	672
P20585	1137
P20592	715
P20676	1076
P20797	163
P20807	821
P20823	631
P20849	921
P20963	164
P21109	355
P21246	168
P21374	235
P21401	1197
P21513	1061
P21580	790
P21675	1872
P21698	265
P21734	215
P21815	317
P22121	677
P22173	845
P22179	144
P22216	821
P22219	1454
P22234	425
P22362	96
P22415	310
P22473	506
P22531	72
P22543	875
P22605	482
P22868	348
P22893	319
P22943	109
P23025	273
P23202	354
P23280	308
P23321	332
P23441	372
P23457	322
P23588	611
P23615	1451
P23677	461
P23771	443
P24005	295
P24071	287
P24255	477
P24385	295
P24522	165
P24785	1293
P24864	410
P24928	1970
P24937	250
P24941	298
P25054	2843
P25299	296
P25638	111
P25644	796
P25791	158
P25814	116
P25891	300
P26196	483
P26368	475
P26477	97
P27001	350
P27058	200
P27321	713
P27356	138
P27392	117
P27469	103
P27472	705
P27682	210
P27695	318
P27708	2225
P27797	417
P27958	3011
P27986	724
P28229	396
P28300	417
P28324	431
P28698	734
P28702	533
P28749	1068
P28827	1452
P29131	319
P29274	412
P29317	976
P29353	583
P29536	600
P30185	186
P30260	824
P30273	86
P30291	646
