protein	score
A0A097F4I8	351.53
A0A0H2ZP82	859.45
A0A0H3CFC9	241.33
A0A0H3GD84	542.23
A0A140GKJ0	275.5
A0A178W0D3	334.29
A0A220GHA5	140.0
A0A2K8FR49	672.0
A0A2Z5UJ33	541.17
A0A2Z6AQX6	803.06
A0A3N4AZ09	806.0
A0A3S5Y0Q5	288.28
A0A411NN20	225.72
A0A5P2U9X4	760.02
A0KJC7	718.59
A0MHA3	275.23
A0R1T8	698.76
A0ZWU1	438.25
A1B602	224.19
A1B8N7	382.15
A1Z9S6	3260.38
A2VD23	613.0
A4C1A5	436.67
A4L7I2	2474.0
A4ZNR2	121.0
A5DRX1	381.69
A5F384	294.12
A5YKK6	2442.5
A5YV76	2591.82
A6ND01	274.0
A6NF83	97.0
A6NI73	317.39
A7YK37	750.8
A7ZUK2	1479.49
A8AZZ3	371.92
A8BB85	357.14
A8CDV5	503.59
A8ULG6	343.74
B0FRH7	120.0
B0Y813	290.0
B2LME8	555.0
B6KJB6	542.0
B7T1D9	275.0
B7XHF3	515.62
B9KDD4	712.0
C0J347	464.0
C4M0U8	379.48
C4PB33	1781.88
C6ZFX3	594.0
C9ZXG5	266.25
D0PV95	708.0
D1A4G7	1396.37
E1BSW7	257.71
E3T1W8	592.76
E5LC01	1302.32
E6PBU3	317.83
E6PBU9	189.0
F0TTD6	377.0
F1QR43	604.77
F1RAX4	687.16
F2WK69	479.12
F2Z293	422.01
F4JL28	293.83
F6IAY2	346.0
F7DSA5	312.0
F8UU09	556.42
F9UST4	315.86
G0SCY6	181.56
G0SDW4	1547.62
G1K3N3	311.7
G1TDB3	321.58
G3V7P1	274.0
G4NEJ8	408.91
G4YRX5	280.53
G5ED39	1336.48
G5EFZ1	575.18
G8HXD9	297.07
H0W0T5	744.65
I1WVY3	3128.41
I7MK25	193.0
J2EKT7	258.83
J3F2B0	1193.64
J7FTI7	162.0
J7QA90	88.0
J7QLC0	1706.0
N1NXA6	99.0
O00189	493.84
O00204	365.0
O00214	351.7
O00255	675.16
O00268	1096.98
O00273	331.0
O00291	1061.59
O00411	1304.39
O00429	809.37
O00482	681.48
O00488	410.12
O00512	1438.62
O00585	286.99
O01479	425.16
O05574	387.27
O06522	310.44
O08583	309.9
O08773	544.0
O08785	855.0
O08807	274.0
O13828	741.0
O13916	430.0
O13936	996.06
O14140	71.0
O14352	249.1
O14519	375.87
O14558	335.0
O14646	1720.53
O14713	227.5
O14717	428.08
O14733	419.0
O14744	646.42
O14745	358.0
O14776	1098.0
O14810	171.31
O14832	395.69
O14958	399.0
O14974	1030.0
O15151	512.45
O15234	703.0
O15273	167.0
O15350	648.58
O15392	490.59
O15409	722.69
O15550	1411.71
O15922	570.04
O16299	615.04
O17087	1134.56
O17428	1818.62
O23661	608.0
O23764	422.0
O23813	642.87
O24172	220.0
O24646	397.17
O28362	298.08
O28769	682.67
O30124	288.57
O30916	595.76
O31467	227.14
O31851	196.0
O32728	636.0
O33599	403.03
O35613	778.92
O35625	889.65
O35718	240.56
O35923	3376.8
O35987	683.51
O36030	412.74
O41094	177.82
O42050	253.97
O43044	1193.66
O43070	773.69
O43189	585.52
O43236	602.48
O43312	755.0
O43313	823.0
O43516	503.0
O43524	682.66
O43561	262.0
O43663	620.0
O43715	227.32
O43781	747.86
O44326	678.0
O49195	331.11
O50835	543.27
O53168	749.54
O54918	196.0
O54928	536.0
O54943	1293.2
O55000	872.0
O57173	334.61
O60200	173.21
O60216	683.3
O60239	649.51
O60486	1573.74
O60502	1192.75
O60508	649.81
O60563	726.0
O60568	757.65
O60573	306.22
O60673	3134.47
O60701	547.64
O60828	265.0
O60829	102.0
O60880	229.56
O60885	1385.86
O60888	251.63
O60927	126.0
O60934	769.92
O62301	902.21
O62479	523.5
O66493	468.35
O66858	398.0
O67086	490.88
O70200	283.05
O75164	1073.87
O75324	235.73
O75496	374.07
O75506	108.89
O75530	488.62
O75554	376.0
O75581	1623.23
O75683	613.08
O75792	404.35
O75807	732.61
O75817	240.0
O75909	598.1
O75936	401.21
O76064	533.45
O76074	898.43
O76463	461.59
O77448	1134.01
O80358	411.79
O81283	1503.0
O86488	1363.29
O89339	532.0
O89467	424.15
O94258	986.18
O94316	1014.49
O94444	310.9
O94742	89.0
O94907	288.56
O94916	1536.88
O95071	2801.14
O95147	253.56
O95163	1389.81
O95278	347.62
O95292	551.64
O95391	879.52
O95405	1437.28
O95630	446.41
O95644	953.6
O95718	433.0
O95835	1227.79
O95843	319.05
O95863	514.0
O95997	202.0
O96013	591.0
P00004	109.76
P00127	147.0
P00392	571.7
P00452	761.0
P00519	1255.22
P00734	674.25
P00736	785.14
P00742	508.49
P00760	246.0
P00800	759.68
P00880	472.0
P01034	183.67
P01042	644.0
P01050	65.0
P01071	681.0
P01094	68.0
P01096	191.57
P01097	85.0
P01099	666.0
P01100	597.11
P01106	457.22
P01130	1085.0
P01139	469.22
P01160	376.17
P01215	266.86
P01501	77.14
P01730	471.1
P02185	218.94
P02293	131.0
P02313	90.0
P02533	511.19
P02545	737.8
P02547	645.54
P02549	2423.13
P02631	109.0
P02655	229.71
P02666	224.0
P02668	245.26
P02671	1068.08
P02686	534.26
P02699	458.63
P02721	108.0
P02730	940.64
P02749	345.0
P02754	678.0
P02760	421.6
P02774	496.15
P02783	112.0
P02788	725.49
P02808	408.77
P02929	341.51
P03040	149.33
P03045	107.0
P03050	53.0
P03069	281.0
P03070	729.19
P03086	366.77
P03087	417.25
P03126	227.62
P03129	98.0
P03211	649.58
P03255	289.0
P03259	613.74
P03265	578.15
P03305	2340.36
P03315	1253.0
P03372	858.03
P03407	221.9
P03421	485.81
P03422	756.51
P03431	800.59
P03437	577.48
P03496	310.43
P03520	325.38
P03607	347.1
P03661	449.94
P03709	279.73
P03714	292.21
P04004	478.0
P04035	903.77
P04049	670.38
P04150	941.09
P04177	555.23
P04183	381.44
P04198	499.56
P04271	92.0
P04275	2815.84
P04325	116.0
P04383	464.38
P04386	902.57
P04480	592.0
P04486	545.1
P04578	863.01
P04626	1403.61
P04629	826.15
P04711	978.76
P04818	368.91
P04859	607.61
P04968	529.56
P04972	87.0
P05031	536.47
P05055	776.4
P05059	449.0
P05198	334.05
P05205	230.27
P05221	245.0
P05231	256.81
P05318	106.0
P05452	202.0
P05455	408.0
P05556	798.0
P06132	367.0
P06149	620.91
P06179	601.06
P06241	552.83
P06400	1008.82
P06401	933.0
P06437	959.86
P06454	111.0
P06491	1391.83
P06709	321.0
P06748	392.64
P06968	204.63
P07214	302.0
P07237	529.65
P07248	1323.0
P07276	1073.68
P07313	608.0
P07342	728.48
P07363	703.69
P07476	585.0
P07516	202.0
P07567	657.0
P07598	448.32
P07663	1255.86
P07674	609.4
P08008	219.0
P08047	785.0
P08050	382.0
P08067	242.91
P08083	387.0
P08179	266.25
P08235	1140.5
P08238	738.5
P08240	860.57
P08245	251.52
P08263	222.0
P08294	315.0
P08392	1298.77
P08510	655.0
P08523	163.0
P08567	364.29
P08575	1320.93
P08581	1466.98
P08592	770.0
P08621	526.24
P08669	550.06
P08670	466.0
P08799	2138.21
P09012	595.83
P09038	340.08
P09041	434.99
P09132	144.0
P09234	240.76
P09372	278.22
P09651	464.74
P09803	971.67
P09883	616.36
P09938	399.0
P09950	608.22
P09951	782.12
P09983	1023.0
P0A2N1	294.94
P0A4T9	253.0
P0A6G1	97.0
P0A6H5	482.5
P0A6R3	123.51
P0A6X3	102.0
P0A707	213.33
P0A7G2	163.08
P0A7K2	166.45
P0A7S3	124.0
P0A7U3	151.78
P0A873	276.57
P0A877	268.0
P0A882	108.0
P0A8Q6	209.77
P0A8S9	262.55
P0A903	344.0
P0A910	385.02
P0A9A6	470.47
P0A9H7	425.19
P0A9K9	308.24
P0A9Q9	381.99
P0AAC0	316.0
P0AB38	353.85
P0ABD8	156.0
P0ABH9	784.39
P0ABI8	785.17
P0ABJ1	407.06
P0ABJ3	248.12
P0ABQ4	159.0
P0ABS5	591.33
P0AC88	419.92
P0ACF8	257.44
P0ACG8	219.47
P0ACN7	341.0
P0ACX9	221.73
P0AD27	794.19
P0AD49	214.77
P0ADV9	282.62
P0AE70	174.06
P0AE72	82.0
P0AES9	110.0
P0AEX9	812.67
P0AFC7	338.18
P0AFD1	196.12
P0AFD6	241.11
P0AFE0	238.35
P0AFG0	280.45
P0AFG8	927.59
P0AFX7	216.0
P0AFZ3	165.0
P0AG11	139.0
P0AG16	526.78
P0AG30	522.82
P0AG63	578.05
P0AG67	837.07
P0AG86	196.94
P0AGE2	360.58
P0C066	372.93
P0C077	173.95
P0C079	79.0
P0C0Y1	161.24
P0C5S4	171.02
P0C6X7	7078.37
P0CF51	173.0
P0CL52	685.0
P0CY08	286.19
