protein	score
A0A0G2JXC5	1038.0
A0A0H2ZP82	859.45
A0A0H3GD84	542.23
A0A0J9X1Q5	1081.6
A0A140GKJ0	275.5
A0A178W0D3	334.29
A0A2K8FR49	672.0
A0A2Z6AQX6	803.06
A0A384E149	468.61
A0A3N4AZ09	806.0
A0A3S5Y0Q5	288.28
A0A411NN20	225.72
A0A5P2U9X4	760.02
A0KJC7	718.59
A0L5S6	306.85
A0MHA3	275.23
A0R1T8	698.76
A0ZWU1	438.25
A1B8N7	382.15
A2VD23	613.0
A4C1A5	436.67
A4HT41	484.55
A4L7I2	2474.0
A5DRX1	381.69
A5F384	294.12
A5HC98	2294.15
A5YKK6	2442.5
A5YV76	2591.82
A6ND01	274.0
A6NF83	97.0
A6NI73	317.39
A7UMX5	1496.0
A7YK37	750.8
A7ZUK2	1479.49
A8AZZ3	371.92
A8BB85	357.14
A8CDV5	503.59
A8ULG6	343.74
B0FRH7	120.0
B0Y813	290.0
B2LME8	555.0
B7T1D9	275.0
B7XHF3	515.62
B9KDD4	712.0
C0J347	464.0
C4M0U8	379.48
C4PB33	1781.88
C6KSX0	416.16
C6ZFX3	594.0
C9ZXG5	266.25
D0NBE6	396.75
D0PV95	708.0
D1A4G7	1396.37
D2CPS8	457.44
E1BSW7	257.71
E3T1W8	592.76
E6PBU3	317.83
E6Y5X0	840.0
F0TTD6	377.0
F1QCV2	709.81
F1QR43	604.77
F1RAX4	687.16
F2WK69	479.12
F2Z293	422.01
F4JL28	293.83
F6IAY2	346.0
F7DSA5	312.0
F8UU09	556.42
F9UST4	315.86
G1K3N3	311.7
G1TDB3	321.58
G3V7P1	274.0
G4NEJ8	408.91
G4YRX5	280.53
G8HXD9	297.07
I1JLC8	605.0
I1WVY3	3128.41
I7MK25	193.0
J2EKT7	258.83
J3F2B0	1193.64
J7FTI7	162.0
J7QA90	88.0
J7QLC0	1706.0
J8TM36	302.27
J9V8B5	287.72
K9MZ21	467.9
K9N5Q8	1411.76
N1NXA6	99.0
O00189	493.84
O00204	365.0
O00255	675.16
O00268	1096.98
O00291	1061.59
O00401	505.0
O00411	1304.39
O00429	809.37
O00482	681.48
O00488	410.12
O00512	1438.62
O00585	286.99
O05574	387.27
O06522	310.44
O08583	309.9
O08689	398.61
O08773	544.0
O08785	855.0
O08807	274.0
O13828	741.0
O13916	430.0
O13936	996.06
O13985	525.67
O14214	496.43
O14508	233.35
O14519	375.87
O14558	335.0
O14646	1720.53
O14713	227.5
O14717	428.08
O14727	1289.67
O14733	419.0
O14776	1098.0
O14810	171.31
O14920	769.23
O14936	926.0
O14958	399.0
O15151	512.45
O15234	703.0
O15273	167.0
O15392	490.59
O15409	722.69
O15922	570.04
O16299	615.04
O17087	1134.56
O17428	1818.62
O23661	608.0
O23764	422.0
O23813	642.87
O24172	220.0
O24646	397.17
O25010	278.48
O25555	125.0
O28362	298.08
O28769	682.67
O29867	889.89
O30916	595.76
O31467	227.14
O31818	317.26
O31851	196.0
O32728	636.0
O33599	403.03
O35274	828.63
O35625	889.65
O35627	394.31
O35718	240.56
O35867	1142.03
O35923	3376.8
O35987	683.51
O36030	412.74
O41094	177.82
O42050	253.97
O43044	1193.66
O43070	773.69
O43189	585.52
O43312	755.0
O43313	823.0
O43474	639.71
O43516	503.0
O43524	682.66
O43561	262.0
O43663	620.0
O43683	1090.53
O43715	227.32
O43781	747.86
O43791	483.63
O44326	678.0
